generation    1.00000e+00
         sol00z       sol00en             R            tt     screenpos      nemirrms       mgorank  mgoviolations 
   3.37736e-01  4.11434e-01  1.41366e-03  6.05734e-01  1.25710e+00  3.56045e-07  2.20000e+01  0.00000e+00 
   3.39170e-01  1.78154e-01  6.98767e-04  9.90226e-01  1.21717e+00  1.75993e-07  8.00000e+00  0.00000e+00 
   3.13893e-01  5.69440e-01  1.77312e-03  1.57400e+00  7.60473e-01  4.46580e-07  3.50000e+01  0.00000e+00 
   4.15675e-01  6.23394e-01  1.05573e-03  6.74476e-01  8.28022e-01  2.65896e-07  1.70000e+01  0.00000e+00 
   3.95963e-01  5.55841e-01  4.50340e-04  1.45507e+00  1.08986e+00  1.13425e-07  4.00000e+00  0.00000e+00 
   4.07253e-01  6.33973e-01  1.45507e-03  9.88031e-01  1.02169e+00  3.66476e-07  2.30000e+01  0.00000e+00 
   3.82637e-01  2.76439e-01  9.59870e-04  1.13176e+00  1.22867e+00  2.41754e-07  1.50000e+01  0.00000e+00 
   3.59027e-01  2.91986e-01  1.78011e-03  3.18085e-01  8.03592e-01  4.48340e-07  3.60000e+01  0.00000e+00 
   3.08479e-01  1.43129e-01  4.28032e-04  7.28177e-01  1.04938e+00  1.06680e-07  2.00000e+00  0.00000e+00 
   3.28391e-01  4.15919e-01  1.07115e-03  2.48655e-01  1.35142e+00  2.62239e-07  1.60000e+01  0.00000e+00 
   3.80964e-01  4.95956e-01  1.77121e-03  1.01344e-01  1.09120e+00  4.54610e-07  3.70000e+01  0.00000e+00 
   3.38573e-01  3.64566e-01  8.19886e-04  1.19322e+00  1.07477e+00  2.06497e-07  1.30000e+01  0.00000e+00 
   4.16978e-01  4.68683e-01  1.68012e-03  3.21827e-01  7.55501e-01  4.23157e-07  3.10000e+01  0.00000e+00 
   3.30649e-01  6.33973e-01  1.68053e-03  1.79608e+00  7.37840e-01  4.23259e-07  3.20000e+01  0.00000e+00 
   3.93229e-01  4.43261e-01  1.53671e-03  1.36443e-01  1.05850e+00  3.87174e-07  2.80000e+01  0.00000e+00 
   3.93470e-01  5.42768e-01  1.73737e-03  5.95133e-01  8.93017e-01  4.37575e-07  3.40000e+01  0.00000e+00 
   3.60142e-01  1.77874e-01  1.48394e-03  9.32313e-01  8.52780e-01  3.73747e-07  2.40000e+01  0.00000e+00 
   3.81916e-01  5.31561e-01  1.53671e-03  8.59241e-01  1.11478e+00  3.87038e-07  2.70000e+01  0.00000e+00 
   3.27383e-01  4.73094e-01  6.82199e-04  7.56891e-01  1.18719e+00  1.71821e-07  7.00000e+00  0.00000e+00 
   4.30581e-01  1.43397e-01  2.49107e-04  1.66306e+00  1.11572e+00  6.49474e-08  0.00000e+00  0.00000e+00 
   3.60142e-01  1.77874e-01  1.48394e-03  1.79809e+00  8.52780e-01  3.73747e-07  2.50000e+01  0.00000e+00 
   3.02445e-01  2.45732e-01  1.81933e-03  1.45143e+00  8.09675e-01  4.58218e-07  3.80000e+01  0.00000e+00 
   3.85998e-01  5.53349e-01  8.12878e-04  3.00897e-01  1.40000e+00  2.00489e-07  9.00000e+00  0.00000e+00 
   3.95919e-01  5.55841e-01  1.30307e-03  2.60126e-01  1.06415e+00  3.21511e-07  2.10000e+01  0.00000e+00 
   3.11179e-01  6.70062e-01  8.19845e-04  9.48383e-01  8.23347e-01  2.06488e-07  1.20000e+01  0.00000e+00 
   3.52334e-01  1.38503e-01  4.36272e-04  8.34709e-01  7.44167e-01  1.09215e-07  3.00000e+00  0.00000e+00 
                                                                                                  
generation    5.00000e+00
         sol00z       sol00en             R            tt     screenpos      nemirrms       mgorank  mgoviolations 
   4.16978e-01  4.30302e-01  1.21546e-03  7.61112e-01  1.16387e+00  3.06127e-07  3.50000e+01  0.00000e+00 
   3.44217e-01  5.59502e-01  9.64071e-04  3.11281e-01  1.31101e+00  2.34372e-07  2.30000e+01  0.00000e+00 
   4.04332e-01  5.30258e-01  4.35507e-04  1.64963e-01  1.16081e+00  1.16638e-07  8.00000e+00  0.00000e+00 
   3.31795e-01  4.84682e-01  2.06796e-04  9.18143e-01  1.23064e+00  6.64216e-08  1.00000e+00  0.00000e+00 
   3.87341e-01  4.97020e-01  1.09015e-03  8.59241e-01  1.07350e+00  2.74563e-07  2.80000e+01  0.00000e+00 
   3.60142e-01  5.08174e-01  1.19491e-03  8.18301e-01  1.14374e+00  3.00950e-07  3.30000e+01  0.00000e+00 
   3.62606e-01  3.98074e-01  7.14334e-04  1.40476e-01  1.31159e+00  1.95361e-07  1.40000e+01  0.00000e+00 
   4.43021e-01  6.76646e-01  3.44222e-04  8.61001e-01  1.04468e+00  8.66141e-08  3.00000e+00  0.00000e+00 
   3.76344e-01  5.53391e-01  1.21490e-03  8.12847e-01  1.15305e+00  3.05987e-07  3.40000e+01  0.00000e+00 
   3.67442e-01  5.92387e-01  7.91516e-04  8.29038e-01  9.14028e-01  1.99352e-07  1.50000e+01  0.00000e+00 
   4.24826e-01  5.70409e-01  3.10156e-04  8.75829e-01  7.37840e-01  7.89947e-08  2.00000e+00  0.00000e+00 
   3.91810e-01  4.73047e-01  1.03381e-03  6.48597e-01  8.60508e-01  2.60374e-07  2.50000e+01  0.00000e+00 
   4.41585e-01  5.61193e-01  1.22169e-03  4.36527e-01  1.14441e+00  3.07697e-07  3.60000e+01  0.00000e+00 
   3.57551e-01  1.03794e-01  1.12415e-03  1.03188e+00  8.88475e-01  2.83128e-07  3.20000e+01  0.00000e+00 
   3.97778e-01  4.98679e-01  1.09314e-03  1.71684e+00  1.13244e+00  2.75318e-07  2.90000e+01  0.00000e+00 
   3.47543e-01  3.55700e-01  1.05573e-03  6.74476e-01  8.42561e-01  2.65896e-07  2.70000e+01  0.00000e+00 
   3.13959e-01  4.95956e-01  1.24659e-03  7.86238e-01  1.03718e+00  3.13968e-07  3.80000e+01  0.00000e+00 
   4.05902e-01  4.23234e-01  8.47582e-04  5.77360e-01  1.38184e+00  2.13337e-07  2.10000e+01  0.00000e+00 
   4.24602e-01  1.41902e-01  4.66630e-04  9.70558e-01  1.30180e+00  1.17454e-07  9.00000e+00  0.00000e+00 
   3.27988e-01  4.38789e-01  9.15567e-04  4.51949e-01  1.28573e+00  2.28879e-07  2.20000e+01  0.00000e+00 
   4.02028e-01  4.83460e-01  5.88623e-04  1.19322e+00  1.14251e+00  1.48253e-07  1.10000e+01  0.00000e+00 
   4.07491e-01  5.00130e-01  2.91432e-04  4.36527e-01  1.05412e+00  9.11109e-08  4.00000e+00  0.00000e+00 
   4.07691e-01  5.05067e-01  1.14378e-03  2.44504e-01  8.19286e-01  2.79167e-07  3.10000e+01  0.00000e+00 
   3.88809e-01  1.82671e-01  4.83370e-04  5.30215e-01  8.37716e-01  1.18655e-07  1.00000e+01  0.00000e+00 
   4.00138e-01  6.06901e-01  1.08377e-03  1.67774e-01  9.81701e-01  2.78785e-07  3.00000e+01  0.00000e+00 
   4.21104e-01  4.84682e-01  7.98598e-04  6.54635e-01  1.32599e+00  2.01137e-07  1.70000e+01  0.00000e+00 
   3.56070e-01  6.00034e-01  8.15665e-04  5.59891e-01  1.16934e+00  2.05111e-07  1.80000e+01  0.00000e+00 
   4.06648e-01  6.68278e-01  1.22170e-03  1.29297e+00  9.23156e-01  3.07698e-07  3.70000e+01  0.00000e+00 
   3.39170e-01  1.78154e-01  6.98767e-04  9.90226e-01  1.21717e+00  1.75993e-07  1.30000e+01  0.00000e+00 
   4.15675e-01  6.23394e-01  1.05573e-03  6.74476e-01  8.28022e-01  2.65896e-07  2.70000e+01  0.00000e+00 
   3.95963e-01  5.55841e-01  4.50340e-04  1.45507e+00  1.08986e+00  1.13425e-07  7.00000e+00  0.00000e+00 
   3.82637e-01  2.76439e-01  9.59870e-04  1.13176e+00  1.22867e+00  2.41754e-07  2.40000e+01  0.00000e+00 
   3.08479e-01  1.43129e-01  4.28032e-04  7.28177e-01  1.04938e+00  1.06680e-07  5.00000e+00  0.00000e+00 
   3.28391e-01  4.15919e-01  1.07115e-03  2.48655e-01  1.35142e+00  2.62239e-07  2.60000e+01  0.00000e+00 
   3.38573e-01  3.64566e-01  8.19886e-04  1.19322e+00  1.07477e+00  2.06497e-07  2.00000e+01  0.00000e+00 
   3.27383e-01  4.73094e-01  6.82199e-04  7.56891e-01  1.18719e+00  1.71821e-07  1.20000e+01  0.00000e+00 
   4.30581e-01  1.43397e-01  2.49107e-04  1.66306e+00  1.11572e+00  6.49474e-08  0.00000e+00  0.00000e+00 
   3.85998e-01  5.53349e-01  8.12878e-04  3.00897e-01  1.40000e+00  2.00489e-07  1.60000e+01  0.00000e+00 
   3.11179e-01  6.70062e-01  8.19845e-04  9.48383e-01  8.23347e-01  2.06488e-07  1.90000e+01  0.00000e+00 
   3.52334e-01  1.38503e-01  4.36272e-04  8.34709e-01  7.44167e-01  1.09215e-07  6.00000e+00  0.00000e+00 
                                                                                                  
generation    6.00000e+00
         sol00z       sol00en             R            tt     screenpos      nemirrms       mgorank  mgoviolations 
   3.29051e-01  3.68630e-01  9.38247e-04  6.59604e-01  1.31549e+00  2.36308e-07  3.90000e+01  0.00000e+00 
   3.43012e-01  1.28607e-01  4.53098e-04  5.30688e-01  8.36374e-01  1.12058e-07  7.00000e+00  0.00000e+00 
   3.20217e-01  6.95487e-01  6.15010e-04  6.27983e-01  1.10476e+00  1.53661e-07  1.70000e+01  0.00000e+00 
